PREFIJO;LOCALIDAD;PROVINCIA;DEPARTAMENTO
11;AMBA;BUENOS AIRES;
11;CIUDAD AUTONOMA DE BUENOS AIRES;CIUDAD AUTONOMA DE BUENOS AIRES;
220;GENERAL LAS HERAS;BUENOS AIRES;GENERAL LAS HERAS
220;LIBERTAD;BUENOS AIRES;
220;MARCOS PAZ;BUENOS AIRES;MARCOS PAZ
220;MARIANO ACOSTA;BUENOS AIRES;
220;MERLO;BUENOS AIRES;MERLO
220;PLOMMER;BUENOS AIRES;GENERAL LAS HERAS
220;PONTEVEDRA;BUENOS AIRES;
220;VILLARS;BUENOS AIRES;MARCOS PAZ
2202;GONZALEZ CATAN;BUENOS AIRES;
2202;VIRREY DEL PINO;BUENOS AIRES;
221;ABASTO;BUENOS AIRES;
221;BARRIO PARQUE SICARDI;BUENOS AIRES;
221;BARTOLOME BAVIO;BUENOS AIRES;MAGDALENA
221;LA PLATA;BUENOS AIRES;LA PLATA
221;LISANDRO OLMOS;BUENOS AIRES;
221;OLIDEN;BUENOS AIRES;BRANDSEN
221;POBLET;BUENOS AIRES;
2221;ATALAYA;BUENOS AIRES;MAGDALENA
2221;JOSE FERRARI;BUENOS AIRES;
2221;MAGDALENA;BUENOS AIRES;MAGDALENA
2221;PIPINAS;BUENOS AIRES;PUNTA INDIO
2221;PUNTA INDIO;BUENOS AIRES;PUNTA INDIO
2221;VERONICA;BUENOS AIRES;PUNTA INDIO
2221;VIEYTES;BUENOS AIRES;MAGDALENA
2223;ALTAMIRANO;BUENOS AIRES;BRANDSEN
2223;CORONEL BRANDSEN;BUENOS AIRES;BRANDSEN
2223;ESTACION GOMEZ;BUENOS AIRES;
2223;JEPPENER;BUENOS AIRES;BRANDSEN
2223;LOMA VERDE;BUENOS AIRES;GENERAL PAZ
2224;GLEW;BUENOS AIRES;
2224;GUERNICA;BUENOS AIRES;PRESIDENTE PERON
2225;ALEJANDRO KORN;BUENOS AIRES;
2225;DOMSELAAR;BUENOS AIRES;SAN VICENTE
2225;LA CAPILLA;BUENOS AIRES;
2225;SAN VICENTE;BUENOS AIRES;SAN VICENTE
2226;ALEJANDRO PETION;BUENOS AIRES;CANUELAS
2226;BARRIO SAN ESTEBAN;BUENOS AIRES;CANUELAS
2226;CAÑUELAS;BUENOS AIRES;CANUELAS
2226;PARAJE EL TALADRO;BUENOS AIRES;
2226;URIBELARREA;BUENOS AIRES;CANUELAS
2227;ANTONIO CARBONI;BUENOS AIRES;LOBOS
2227;CARLOS BEGUERIE;BUENOS AIRES;ROQUE PEREZ
2227;LOBOS;BUENOS AIRES;LOBOS
2227;ROQUE PEREZ;BUENOS AIRES;ROQUE PEREZ
2227;SALVADOR MARIA;BUENOS AIRES;LOBOS
2229;EL PATO;BUENOS AIRES;
2229;JUAN MARIA GUTIERREZ;BUENOS AIRES;
223;BARRIO EL CASAL;BUENOS AIRES;
223;BARRIO LA ARMONIA;BUENOS AIRES;MAR CHIQUITA
223;BARRIO PARQUE PEÑA;BUENOS AIRES;
223;BARRIO SAN EDUARDO;BUENOS AIRES;
223;BATAN;BUENOS AIRES;
223;COLONIA BARRAGAN;BUENOS AIRES;
223;EL FARO;BUENOS AIRES;
223;ESTACION CAMET;BUENOS AIRES;
223;LA BRAVA;BUENOS AIRES;BALCARCE
223;LAS DOS MARIAS;BUENOS AIRES;
223;LOS ORTIZ;BUENOS AIRES;
223;MAR CHIQUITA;BUENOS AIRES;MAR CHIQUITA
223;MAR DEL PLATA;BUENOS AIRES;GENERAL PUEYRREDON
223;PLAYA CHAPADMALAL;BUENOS AIRES;GENERAL PUEYRREDON
223;SANTA CELINA;BUENOS AIRES;
