PREFIJO;LOCALIDAD;PROVINCIA
11;AMBA;BUENOS AIRES
11;CIUDAD AUTONOMA DE BUENOS AIRES;CIUDAD AUTONOMA DE BUENOS AIRES
220;GENERAL LAS HERAS;BUENOS AIRES
220;LIBERTAD;BUENOS AIRES
220;MARCOS PAZ;BUENOS AIRES
220;MARIANO ACOSTA;BUENOS AIRES
220;MERLO;BUENOS AIRES
220;PLOMMER;BUENOS AIRES
220;PONTEVEDRA;BUENOS AIRES
220;VILLARS;BUENOS AIRES
2202;GONZALEZ CATAN;BUENOS AIRES
2202;VIRREY DEL PINO;BUENOS AIRES
221;ABASTO;BUENOS AIRES
221;BARRIO PARQUE SICARDI;BUENOS AIRES
221;BARTOLOME BAVIO;BUENOS AIRES
221;LA PLATA;BUENOS AIRES
221;LISANDRO OLMOS;BUENOS AIRES
221;OLIDEN;BUENOS AIRES
221;POBLET;BUENOS AIRES
2221;ATALAYA;BUENOS AIRES
2221;JOSE FERRARI;BUENOS AIRES
2221;MAGDALENA;BUENOS AIRES
2221;PIPINAS;BUENOS AIRES
2221;PUNTA INDIO;BUENOS AIRES
2221;VERONICA;BUENOS AIRES
2221;VIEYTES;BUENOS AIRES
2223;ALTAMIRANO;BUENOS AIRES
2223;CORONEL BRANDSEN;BUENOS AIRES
2223;ESTACION GOMEZ;BUENOS AIRES
2223;JEPPENER;BUENOS AIRES
2223;LOMA VERDE;BUENOS AIRES
2224;GLEW;BUENOS AIRES
2224;GUERNICA;BUENOS AIRES
2225;ALEJANDRO KORN;BUENOS AIRES
2225;DOMSELAAR;BUENOS AIRES
2225;LA CAPILLA;BUENOS AIRES
2225;SAN VICENTE;BUENOS AIRES
2226;ALEJANDRO PETION;BUENOS AIRES
2226;BARRIO SAN ESTEBAN;BUENOS AIRES
2226;CAÑUELAS;BUENOS AIRES
2226;PARAJE EL TALADRO;BUENOS AIRES
2226;URIBELARREA;BUENOS AIRES
2227;ANTONIO CARBONI;BUENOS AIRES
2227;CARLOS BEGUERIE;BUENOS AIRES
2227;LOBOS;BUENOS AIRES
2227;ROQUE PEREZ;BUENOS AIRES
2227;SALVADOR MARIA;BUENOS AIRES
2229;EL PATO;BUENOS AIRES
2229;JUAN MARIA GUTIERREZ;BUENOS AIRES
223;BARRIO EL CASAL;BUENOS AIRES
223;BARRIO LA ARMONIA;BUENOS AIRES
223;BARRIO PARQUE PEÑA;BUENOS AIRES
223;BARRIO SAN EDUARDO;BUENOS AIRES
223;BATAN;BUENOS AIRES
223;COLONIA BARRAGAN;BUENOS AIRES
223;EL FARO;BUENOS AIRES
223;ESTACION CAMET;BUENOS AIRES
223;LA BRAVA;BUENOS AIRES
223;LAS DOS MARIAS;BUENOS AIRES
223;LOS ORTIZ;BUENOS AIRES
223;MAR CHIQUITA;BUENOS AIRES
223;MAR DEL PLATA;BUENOS AIRES
223;PLAYA CHAPADMALAL;BUENOS AIRES
223;SANTA CELINA;BUENOS AIRES
223;SANTA CLARA DEL MAR;BUENOS AIRES
223;SIERRA DE LOS PADRES;BUENOS AIRES
2241;CHASCOMUS;BUENOS AIRES
2241;LA POSADA;BUENOS AIRES
2241;RANCHOS;BUENOS AIRES
2242;LEZAMA;BUENOS AIRES
2242;PILA;BUENOS AIRES
2243;GENERAL BELGRANO;BUENOS AIRES
2243;VILLANUEVA;BUENOS AIRES
2244;LAS FLORES;BUENOS AIRES
2245;CASTELLI;BUENOS AIRES
2245;DOLORES;BUENOS AIRES
2245;GENERAL CONESA;BUENOS AIRES
2245;SEVIGNE;BUENOS AIRES
2246;SANTA TERESITA;BUENOS AIRES
2252;GENERAL LAVALLE;BUENOS AIRES
2252;SAN CLEMENTE DEL TUYU;BUENOS AIRES
